wl nw Kw GSV1 GSV2 GSV3
667 1.33 0.00409 0.662927 0.749398 -0.565218
668 1.33 0.0041 0.660608 0.750242 -0.566752
669 1.33 0.00411 0.658289 0.751086 -0.568286
670 1.33 0.00412 0.65597 0.75193 -0.56982
671 1.33 0.00414 0.653576 0.752769 -0.571381
672 1.33 0.00415 0.651182 0.753608 -0.572942
673 1.33 0.00416 0.648788 0.754447 -0.574503
674 1.33 0.00417 0.646394 0.755286 -0.576064
675 1.33 0.0042 0.644 0.756125 -0.577625
676 1.33 0.00422 0.641606 0.756964 -0.579186
677 1.33 0.00425 0.639212 0.757803 -0.580747
678 1.33 0.00427 0.636818 0.758642 -0.582308
679 1.33 0.00429 0.634424 0.759481 -0.583869
680 1.33 0.00432 0.63203 0.76032 -0.58543
681 1.33 0.00435 0.629472 0.761153 -0.587162
682 1.33 0.00438 0.626914 0.761986 -0.588894
683 1.33 0.00442 0.624356 0.762819 -0.590626
684 1.33 0.00446 0.621798 0.763652 -0.592358
685 1.33 0.0045 0.61924 0.764485 -0.59409
686 1.33 0.00455 0.616682 0.765318 -0.595822
687 1.33 0.00459 0.614124 0.766151 -0.597554
688 1.33 0.00465 0.611566 0.766984 -0.599286
689 1.33 0.0047 0.609008 0.767817 -0.601018
690 1.33 0.00476 0.60645 0.76865 -0.60275
691 1.33 0.00483 0.603794 0.769476 -0.604571
692 1.33 0.0049 0.601138 0.770302 -0.606392
693 1.33 0.00499 0.598482 0.771128 -0.608213
694 1.33 0.00507 0.595826 0.771954 -0.610034
695 1.33 0.00515 0.59317 0.77278 -0.611855
696 1.33 0.00524 0.590514 0.773606 -0.613676
697 1.33 0.00535 0.587858 0.774432 -0.615497
698 1.33 0.00547 0.585202 0.775258 -0.617318
699 1.33 0.00559 0.582546 0.776084 -0.619139
700 1.33 0.00572 0.57989 0.77691 -0.62096
701 1.33 0.00586 0.5772 0.777724 -0.622769
702 1.33 0.006 0.57451 0.778538 -0.624578
703 1.33 0.00615 0.57182 0.779352 -0.626387
704 1.33 0.0063 0.56913 0.780166 -0.628196
705 1.33 0.00646 0.56644 0.78098 -0.630005
706 1.33 0.00663 0.56375 0.781794 -0.631814
707 1.33 0.0068 0.56106 0.782608 -0.633623
708 1.33 0.00699 0.55837 0.783422 -0.635432
709 1.33 0.0072 0.55568 0.784236 -0.637241
710 1.33 0.00742 0.55299 0.78505 -0.63905
711 1.33 0.00765 0.550244 0.785845 -0.640835
712 1.33 0.00789 0.547498 0.78664 -0.64262
713 1.33 0.00816 0.544752 0.787435 -0.644405
714 1.33 0.00845 0.542006 0.78823 -0.64619
715 1.33 0.00876 0.53926 0.789025 -0.647975
716 1.33 0.00911 0.536514 0.78982 -0.64976
717 1.33 0.00948 0.533768 0.790615 -0.651545
718 1.33 0.00987 0.531022 0.79141 -0.65333
719 1.33 0.0103 0.528276 0.792205 -0.655115
720 1.33 0.0107 0.52553 0.793 -0.6569
721 1.33 0.0112 0.522947 0.793767 -0.658326
722 1.33 0.0117 0.520364 0.794534 -0.659752
723 1.33 0.0122 0.517781 0.795301 -0.661178
724 1.33 0.0127 0.515198 0.796068 -0.662604
725 1.33 0.0132 0.512615 0.796835 -0.66403
726 1.33 0.0137 0.510032 0.797602 -0.665456
727 1.33 0.0143 0.507449 0.798369 -0.666882
728 1.33 0.0149 0.504866 0.799136 -0.668308
729 1.33 0.0155 0.502283 0.799903 -0.669734
730 1.33 0.0162 0.4997 0.80067 -0.67116
731 1.33 0.017 0.497284 0.801401 -0.672096
732 1.33 0.0179 0.494868 0.802132 -0.673032
733 1.33 0.0189 0.492452 0.802863 -0.673968
734 1.33 0.0199 0.490036 0.803594 -0.674904
735 1.33 0.021 0.48762 0.804325 -0.67584
736 1.33 0.0221 0.485204 0.805056 -0.676776
737 1.33 0.0231 0.482788 0.805787 -0.677712
738 1.33 0.0239 0.480372 0.806518 -0.678648
739 1.33 0.0247 0.477956 0.807249 -0.679584
740 1.33 0.0253 0.47554 0.80798 -0.68052
741 1.33 0.0258 0.473328 0.808675 -0.680919
742 1.33 0.0262 0.471116 0.80937 -0.681318
743 1.33 0.0265 0.468904 0.810065 -0.681717
744 1.33 0.0267 0.466692 0.81076 -0.682116
745 1.33 0.0269 0.46448 0.811455 -0.682515
746 1.33 0.027 0.462268 0.81215 -0.682914
747 1.33 0.0271 0.460056 0.812845 -0.683313
748 1.33 0.0272 0.457844 0.81354 -0.683712
749 1.33 0.0273 0.455632 0.814235 -0.684111
750 1.33 0.0273 0.45342 0.81493 -0.68451
751 1.33 0.0274 0.45154 0.815579 -0.684135
752 1.33 0.0274 0.44966 0.816228 -0.68376
753 1.33 0.0275 0.44778 0.816877 -0.683385
754 1.33 0.0275 0.4459 0.817526 -0.68301
755 1.33 0.0275 0.44402 0.818175 -0.682635
756 1.33 0.0275 0.44214 0.818824 -0.68226
757 1.33 0.0276 0.44026 0.819473 -0.681885
758 1.33 0.0276 0.43838 0.820122 -0.68151
759 1.33 0.0277 0.4365 0.820771 -0.681135
760 1.33 0.0277 0.43462 0.82142 -0.68076
761 1.33 0.0277 0.432917 0.822019 -0.679735
762 1.33 0.0277 0.431214 0.822618 -0.67871
763 1.33 0.0277 0.429511 0.823217 -0.677685
764 1.33 0.0277 0.427808 0.823816 -0.67666
765 1.33 0.0277 0.426105 0.824415 -0.675635
766 1.33 0.0277 0.424402 0.825014 -0.67461
767 1.33 0.0277 0.422699 0.825613 -0.673585
768 1.33 0.0276 0.420996 0.826212 -0.67256
769 1.33 0.0276 0.419293 0.826811 -0.671535
770 1.33 0.0275 0.41759 0.82741 -0.67051
771 1.33 0.0275 0.416097 0.827954 -0.668849
772 1.33 0.0275 0.414604 0.828498 -0.667188
773 1.33 0.0274 0.413111 0.829042 -0.665527
774 1.33 0.0273 0.411618 0.829586 -0.663866
775 1.33 0.0272 0.410125 0.83013 -0.662205
776 1.33 0.0271 0.408632 0.830674 -0.660544
777 1.33 0.027 0.407139 0.831218 -0.658883
778 1.33 0.0269 0.405646 0.831762 -0.657222
779 1.33 0.0268 0.404153 0.832306 -0.655561
780 1.33 0.0266 0.40266 0.83285 -0.6539
781 1.33 0.0265 0.401451 0.833344 -0.651603
782 1.33 0.0263 0.400242 0.833838 -0.649306
783 1.33 0.0262 0.399033 0.834332 -0.647009
784 1.33 0.0261 0.397824 0.834826 -0.644712
785 1.33 0.0259 0.396615 0.83532 -0.642415
786 1.33 0.0256 0.395406 0.835814 -0.640118
787 1.33 0.0252 0.394197 0.836308 -0.637821
788 1.33 0.0251 0.392988 0.836802 -0.635524
789 1.33 0.025 0.391779 0.837296 -0.633227
790 1.33 0.0247 0.39057 0.83779 -0.63093
791 1.33 0.0245 0.389463 0.838224 -0.628296
792 1.33 0.0241 0.388356 0.838658 -0.625662
793 1.33 0.0239 0.387249 0.839092 -0.623028
794 1.33 0.0237 0.386142 0.839526 -0.620394
795 1.33 0.0236 0.385035 0.83996 -0.61776
796 1.33 0.0234 0.383928 0.840394 -0.615126
797 1.33 0.0232 0.382821 0.840828 -0.612492
798 1.33 0.023 0.381714 0.841262 -0.609858
799 1.33 0.0228 0.380607 0.841696 -0.607224
800 1.33 0.0225 0.3795 0.84213 -0.60459
801 1.33 0.0224 0.378462 0.842509 -0.601747
802 1.33 0.0224 0.377424 0.842888 -0.598904
803 1.33 0.0222 0.376386 0.843267 -0.596061
804 1.33 0.022 0.375348 0.843646 -0.593218
805 1.33 0.022 0.37431 0.844025 -0.590375
806 1.33 0.022 0.373272 0.844404 -0.587532
807 1.33 0.022 0.372234 0.844783 -0.584689
808 1.33 0.0218 0.371196 0.845162 -0.581846
809 1.33 0.0219 0.370158 0.845541 -0.579003
810 1.33 0.0219 0.36912 0.84592 -0.57616
811 1.33 0.0219 0.368249 0.846272 -0.573039
812 1.33 0.022 0.367378 0.846624 -0.569918
813 1.33 0.0221 0.366507 0.846976 -0.566797
814 1.33 0.0222 0.365636 0.847328 -0.563676
815 1.33 0.0223 0.364765 0.84768 -0.560555
816 1.33 0.0225 0.363894 0.848032 -0.557434
817 1.33 0.0228 0.363023 0.848384 -0.554313
818 1.33 0.023 0.362152 0.848736 -0.551192
